timestamp	event	branch_id	round_id	mode	verdict	decision	description	artifact_path
2026-04-15T13:21:52.432464+00:00	session_created						Initialized Abel-alpha narrative session	
2026-04-15T13:21:52.432464+00:00	discovery_recorded						Recorded live Abel discovery with K=0	discovery.json
2026-04-15T13:23:30.062407+00:00	session_created						Initialized Abel-alpha narrative session	
2026-04-15T13:23:30.062929+00:00	discovery_recorded						Recorded live Abel discovery with K=0	discovery.json
2026-04-15T13:27:33.252217+00:00	session_created						Initialized Abel-alpha narrative session	
2026-04-15T13:29:26.297524Z	discovery_recorded						Recorded live Abel discovery via cap_probe with K=0	discovery.json
2026-04-15T13:39:43.293377+00:00	branch_created	graph-v1					Initialized Abel-alpha branch	
2026-04-15T13:49:10.592807+00:00	round_recorded	graph-v1	round-001	explore	PASS	keep	baseline discovery-driven graph vote	branches\graph-v1\outputs\round-001-edge-result.json
