timestamp	event	branch_id	round_id	mode	verdict	decision	description	artifact_path
2026-04-15T13:21:53.083282+00:00	session_created						Initialized Abel-alpha narrative session	
2026-04-15T13:21:53.083808+00:00	discovery_recorded						Recorded live Abel discovery with K=8	discovery.json
2026-04-15T13:23:29.197103+00:00	session_created						Initialized Abel-alpha narrative session	
2026-04-15T13:23:29.197616+00:00	discovery_recorded						Recorded live Abel discovery with K=8	discovery.json
2026-04-15T13:27:33.220584+00:00	session_created						Initialized Abel-alpha narrative session	
2026-04-15T13:29:35.530325Z	discovery_recorded						Recorded live Abel discovery via cap_probe with K=8	discovery.json
2026-04-15T13:39:43.456998+00:00	branch_created	graph-v1					Initialized Abel-alpha branch	
2026-04-15T13:49:10.718203+00:00	round_recorded	graph-v1	round-001	explore	PASS	keep	baseline discovery-driven graph vote	branches\graph-v1\outputs\round-001-edge-result.json
