exp_id	ticker	branch_id	round_id	decision	lo_adj	ic	omega	sharpe	max_dd	pnl	K	score	verdict	mode	description	result_path	report_path
hot-ai-20260415	GOOGL	graph-v1	round-001	discard	4.058	0.0000	1.896	3.700	-0.0475	95.9	1	6/7	FAIL	explore	baseline discovery-driven graph vote	branches\graph-v1\outputs\round-001-edge-result.json	branches\graph-v1\outputs\round-001-edge-validation.md
hot-ai-20260415	GOOGL	graph-v1	round-002	keep	4.284	0.0000	1.970	3.919	-0.0480	109.8	1	7/7	PASS	exploit	raise return floor after strong baseline near-pass	branches\graph-v1\outputs\round-002-edge-result.json	branches\graph-v1\outputs\round-002-edge-validation.md
